name_raw,name_norm,super_class,brand_id,price
Говядина вырезка зам.,говядина вырезка,canned.говядина.тушеная,,1917.0
Говядина КНАКЛ б/к зам.Гост,говядина кнакл,canned.говядина.тушеная,,1010.0
Говядина лопатка б/к зам. вес Россия,говядина лопатка россия,canned.говядина.тушеная,,731.0
Голень куринная Россия с/м,голень куринная россия,other,,261.0
Индейка филе грудки Россия зам,индейка филе грудки россия,meat.turkey,,650.0
Колбаса Докторская Особая вес,колбаса докторская особая,meat.kolbasa,,361.0
Колбаса Коровино вес,колбаса коровино,beverages.вино,,331.0
Колбаски охотничьи Гост п/копч Анком вес,колбаски охотничьи копч анком,meat.kolbasa,,480.0
Кура тушка вес,кура тушка,other,,262.0
Куриное крыло 2-х фаланг. зам вес,куриное крыло фаланг,other,,365.0
Куриная печень,куриная печень,other,,258.0
Куриное бедро б/к вес,куриное бедро,other,,501.0
Куриное бедро н/к вес,куриное бедро,other,,277.0
Куриные грудки к/в в/у вес,куриные грудки,other,,668.0
Куриное филе грудки вес,куриное филе грудки,other,,470.0
Окорок Охтинский ТУ вар/коп вес,окорок охтинский ту вар коп,other,,723.0
Окорок Утки н/к,окорок утки,other,,670.0
Свинина вырезка зам,свинина вырезка,canned.свинина.тушеная,,560.0
Свининые ребра с/м,свининые ребра,meat.pork,,490.0
Сало с чесноком Кубань продукт вес (солонина Казацкая),сало чесноком кубань продукт солонина казацкая,other,,591.0
Сало шпик соленый вес,сало шпик соленый,other,,777.0
Сосиски Мусульманские Рузком,сосиски мусульманские рузком,meat.sausages,,260.0
Сосиски Папа может молочные вес,сосиски папа может молочные,meat.sausages,,340.0
Сосиски Папа может Премиум молочные вес,сосиски папа может премиум молочные,meat.sausages,,392.0
Суповой набор из говядины вес,суповой набор из говядины,meat.beef,,108.0
Суповой набор из курицы вес,суповой набор из курицы,meat.chicken,,120.0
Утка грудка филе вес,утка грудка филе,meat.duck,,813.0
Свиная шея б/к зам Россия,свиная шея россия,other,,693.0
"Кока-кола 0,5",кока кола,other,coca_cola,90.0
