supplier_item_id,supplier_id,name_raw,name_norm,super_class_db,super_class_runtime,sc_confidence,brand_id_db,brand_from_text,pack_db,pack_runtime,price,data_issues
ede3e9f8-7ea8-4dca-8750-fa07acd03950,2204f0f3-4c5e-4992-a6fd-47f941f8e7ad,Кукуруза зерно с/м упак.10 кг Индия,кукуруза зерно индия,canned.кукуруза.консервированная,seafood.shrimp,0.45,,,10.0,10.0,2057.75,NO_BRAND
49e9c9be-7a2d-4668-b048-7468843717bb,2204f0f3-4c5e-4992-a6fd-47f941f8e7ad,Шпинат листовой резаный порционный б/з 10кг/упак Ritune Китай,шпинат листовой резаный порционный ritune китай,other,,0.15,,,10.0,10.0,2150.0,SUPER_CLASS_OTHER|NO_BRAND
116f433f-5693-4452-9da3-878219ddb032,2204f0f3-4c5e-4992-a6fd-47f941f8e7ad,Перец красный резанный полосками с/м 10 кг/упак Узбекистан,перец красный резанный полосками узбекистан,canned.перец.консервированный,condiments.spice,1.0,,,10.0,10.0,1620.25,NO_BRAND
40350045-ff3e-4c34-bfa5-f090424e1276,2204f0f3-4c5e-4992-a6fd-47f941f8e7ad,Морковь шайба с волнистым срезом зам. 10 кг/упак Россия,морковь шайба волнистым срезом россия,vegetables.морковь,,0.16,,,10.0,10.0,793.75,NO_BRAND
5b8704d7-dd3b-4d37-bc22-02d98e992053,2204f0f3-4c5e-4992-a6fd-47f941f8e7ad,"Зеленые соевые бобы Эдамамэ FAM BAM очищенные в зернах с/м (0,500 кг) Китай",зеленые соевые бобы эдамамэ fam bam очищенные зернах китай,other,,0.24,,,0.5,0.5,230.0,SUPER_CLASS_OTHER|NO_BRAND
4dc23b6c-a435-4fb2-9cb6-58419ff6c064,2204f0f3-4c5e-4992-a6fd-47f941f8e7ad,Тыква кубик с/м 10 кг/упак Россия,тыква кубик россия,other,,0.16,,,10.0,10.0,1268.6,SUPER_CLASS_OTHER|NO_BRAND
19d49c5c-f029-4917-82e4-b79e98d7f705,2204f0f3-4c5e-4992-a6fd-47f941f8e7ad,Фасоль стручковая зеленая резаная с/м упак.10 кг Египет,фасоль стручковая зеленая резаная египет,staples.фасоль,staples.фасоль,0.77,,,10.0,10.0,1308.3,NO_BRAND
0dfa9987-c6bf-4d62-b00a-579997538692,2204f0f3-4c5e-4992-a6fd-47f941f8e7ad,Фасоль зеленая стручковая резаная б/з 10кг/упак MIMA Foods Египет,фасоль зеленая стручковая резаная mima foods египет,staples.фасоль,staples.фасоль,0.75,,,10.0,10.0,1287.5,NO_BRAND
47ebdea2-9eac-4d8f-a966-90df25ec322f,2204f0f3-4c5e-4992-a6fd-47f941f8e7ad,"Зеленые соевые бобы Эдамаме ""ESORO"" очищенные (0,250 кг) упак. . Китай",зеленые соевые бобы эдамаме esoro очищенные китай,other,,0.26,,,0.25,0.25,122.0,SUPER_CLASS_OTHER|NO_BRAND
1899e03f-ec57-467d-8cf0-e8a4845957a0,2204f0f3-4c5e-4992-a6fd-47f941f8e7ad,Капуста брокколи б/м упак 10 кг Эквадор,капуста брокколи эквадор,vegetables.капуста,vegetables.капуста,0.67,,,10.0,10.0,2459.9,NO_BRAND
b5a5da23-f020-40ed-9237-76af5ebfc878,2204f0f3-4c5e-4992-a6fd-47f941f8e7ad,Морковь мини б/з 10кг/упак Ritune Китай,морковь мини ritune китай,vegetables.морковь,,0.14,,,10.0,10.0,2750.0,NO_BRAND
4a6549a0-e00c-4d83-b2ff-98307ffb840f,2204f0f3-4c5e-4992-a6fd-47f941f8e7ad,Перец Болгарский красный кубик б/з 10кг/упак RITUNE Китай,перец болгарский красный кубик ritune китай,canned.перец.консервированный,condiments.spice,1.0,,,10.0,10.0,1887.5,NO_BRAND
73ea9191-8c22-4fa3-a969-3ba0d5e5f03f,2204f0f3-4c5e-4992-a6fd-47f941f8e7ad,Капуста цветная зам 10кг/упак AGRO GREEN Египет,капуста цветная agro green египет,vegetables.капуста,vegetables.капуста,0.67,,,10.0,10.0,1496.08,NO_BRAND
e891be59-4967-443b-b8a8-293b47ec0927,2204f0f3-4c5e-4992-a6fd-47f941f8e7ad,Капуста брокколи зам 10кг/упак AGRO GREEN Египет,капуста брокколи agro green египет,vegetables.капуста,vegetables.капуста,0.65,,,10.0,10.0,1558.58,NO_BRAND
